question,answer
"What is an algorithm?","An algorithm is a step-by-step procedure or formula for solving a problem."
"What is Big O notation?","Big O notation is a mathematical notation used to describe the upper bound of an algorithm's running time or space requirements in terms of the input size."
"What is a data structure?","A data structure is a way of organizing and storing data so that it can be accessed and modified efficiently."
"What is a sorting algorithm?","A sorting algorithm is a method for arranging elements in a list or array in a particular order."
"What is the time complexity of Bubble Sort?","The time complexity of Bubble Sort is O(n^2) in the worst and average cases."
"What is the time complexity of Quick Sort?","The time complexity of Quick Sort is O(n log n) on average and O(n^2) in the worst case."
"What is a binary search algorithm?","A binary search algorithm is a search method that finds the position of a target value within a sorted array by repeatedly dividing the search interval in half."
"What is the time complexity of binary search?","The time complexity of binary search is O(log n)."
"What is a linked list?","A linked list is a linear data structure where each element is a separate object, and elements are linked using pointers."
"What is a stack?","A stack is a linear data structure that follows the Last In First Out (LIFO) principle."
"What is a queue?","A queue is a linear data structure that follows the First In First Out (FIFO) principle."
"What is a hash table?","A hash table is a data structure that maps keys to values for efficient lookup."
"What is a tree?","A tree is a hierarchical data structure consisting of nodes, with each node having zero or more child nodes."
"What is a binary tree?","A binary tree is a tree data structure in which each node has at most two children, referred to as the left child and the right child."
"What is a binary search tree?","A binary search tree is a binary tree in which each node has a value greater than all the values in its left subtree and less than all the values in its right subtree."
"What is a graph?","A graph is a data structure consisting of nodes, also known as vertices, connected by edges."
"What is a depth-first search (DFS)?","Depth-first search (DFS) is an algorithm for traversing or searching tree or graph data structures by starting at the root and exploring as far as possible along each branch before backtracking."
"What is a breadth-first search (BFS)?","Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures by starting at the root and exploring all neighbor nodes at the present depth before moving on to nodes at the next depth level."
"What is a dynamic programming?","Dynamic programming is a method for solving complex problems by breaking them down into simpler subproblems and storing the results of these subproblems to avoid redundant computations."
"What is a greedy algorithm?","A greedy algorithm is an algorithmic paradigm that builds up a solution piece by piece, always choosing the next piece that offers the most immediate benefit."
"What is a divide-and-conquer algorithm?","A divide-and-conquer algorithm is a method of solving a problem by breaking it down into smaller subproblems, solving each subproblem recursively, and combining the solutions to solve the original problem."
"What is the merge sort algorithm?","Merge sort is a sorting algorithm that uses the divide-and-conquer approach to divide the input array into two halves, sort each half recursively, and then merge the two sorted halves."
"What is the time complexity of merge sort?","The time complexity of merge sort is O(n log n)."
"What is a heap?","A heap is a specialized tree-based data structure that satisfies the heap property, where the key of each node is either greater than or equal to (max heap) or less than or equal to (min heap) the keys of its children."
"What is a priority queue?","A priority queue is an abstract data type similar to a regular queue, but each element has a priority associated with it, and elements are served based on their priority."
"What is Dijkstra's algorithm?","Dijkstra's algorithm is a graph search algorithm that finds the shortest path from a starting node to all other nodes in a weighted graph."
"What is the time complexity of Dijkstra's algorithm?","The time complexity of Dijkstra's algorithm is O(V^2) for the simplest implementation, but it can be reduced to O(V log V + E) using a priority queue."
"What is a minimum spanning tree (MST)?","A minimum spanning tree is a subset of the edges of a connected, edge-weighted graph that connects all the vertices together without any cycles and with the minimum possible total edge weight."
"What is Kruskal's algorithm?","Kruskal's algorithm is an algorithm for finding the minimum spanning tree of a graph by sorting the edges by weight and adding them one by one, as long as they don't form a cycle."
"What is Prim's algorithm?","Prim's algorithm is an algorithm for finding the minimum spanning tree of a graph by starting with a single vertex and growing the tree one edge at a time, always choosing the smallest edge that connects a vertex in the tree to a vertex outside the tree."
"What is a topological sort?","A topological sort is a linear ordering of vertices in a directed acyclic graph (DAG) such that for every directed edge uv, vertex u comes before vertex v in the ordering."
"What is a backtracking algorithm?","A backtracking algorithm is a method for finding solutions to problems by incrementally building candidates to the solutions and abandoning a candidate as soon as it determines that the candidate cannot possibly lead to a valid solution."
"What is the Knuth-Morris-Pratt (KMP) algorithm?","The Knuth-Morris-Pratt (KMP) algorithm is a string-searching algorithm that searches for the occurrences of a word within a main text string in linear time."
"What is the Boyer-Moore algorithm?","The Boyer-Moore algorithm is a string-searching algorithm that uses information gathered during the preprocessing phase to skip sections of the text, resulting in faster search times."
"What is a trie?","A trie is a tree-like data structure used to store a dynamic set of strings where the keys are usually strings."
"What is a balanced binary tree?","A balanced binary tree is a binary tree where the difference in height between the left and right subtrees of any node is at most one."
"What is an AVL tree?","An AVL tree is a self-balancing binary search tree where the height of the two child subtrees of any node differ by at most one."
"What is a red-black tree?","A red-black tree is a self-balancing binary search tree where nodes are colored red or black to ensure that the tree remains balanced during insertions and deletions."
"What is hashing?","Hashing is the process of converting an input (or 'key') into a fixed-size string of bytes, typically for fast data retrieval."
"What is a hash function?","A hash function is a function that takes an input and returns a fixed-size string of bytes. The output is typically a 'hash code' or 'hash value'."
"What is collision in hashing?","A collision in hashing occurs when two different inputs produce the same hash value."
"What is a perfect hash function?","A perfect hash function is a hash function that maps distinct elements to distinct addresses with no collisions."
"What is open addressing in hashing?","Open addressing is a collision resolution method in hashing where all elements are stored in the hash table itself, and in the case of a collision, a probing sequence is followed to find an empty slot."
"What is chaining in hashing?","Chaining is a collision resolution method in hashing where each slot in the hash table points to a linked list of entries that map to the same hash value."
"What is load factor in hashing?","The load factor in hashing is the ratio of the number of elements in the hash table to the number of slots (buckets) in the table."
"What is rehashing?","Rehashing is the process of resizing a hash table and re-inserting all the elements into the new table when the load factor exceeds a certain threshold."
"What is the pigeonhole principle?","The pigeonhole principle is a principle in combinatorics which states that if more items are put into fewer containers than there are items, then at least one container must contain more than one item."
"What is the principle of optimality in dynamic programming?","The principle of optimality states that an optimal solution to a problem contains optimal solutions to its subproblems."
"What is memoization?","Memoization is an optimization technique used in dynamic programming where the results of expensive function calls are stored and reused when the same inputs occur again."
"What is the Master Theorem?","The Master Theorem provides a solution to recurrence relations of the form T(n) = aT(n/b) + f(n) for divide-and-conquer algorithms."
"What is amortized analysis?","Amortized analysis is a method of analyzing the time complexity of an algorithm over a sequence of operations, providing an average time per operation."
"What is a randomized algorithm?","A randomized algorithm is an algorithm that uses random numbers to influence its behavior and make decisions during execution."
"What is a Monte Carlo algorithm?","A Monte Carlo algorithm is a type of randomized algorithm that produces a correct result with high probability and runs in polynomial time."
"What is a Las Vegas algorithm?","A Las Vegas algorithm is a type of randomized algorithm that always produces a correct result but its running time is a random variable."
"What is a decision problem?","A decision problem is a problem that can be posed as a yes/no question regarding the input values."
"What is an NP-complete problem?","An NP-complete problem is a problem for which no polynomial-time solution is known, but if a polynomial-time solution exists for one NP-complete problem, it would exist for all problems in NP."
"What is a polynomial-time algorithm?","A polynomial-time algorithm is an algorithm whose running time grows at most as a polynomial function of the input size."
"What is a linear-time algorithm?","A linear-time algorithm is an algorithm whose running time grows linearly with the input size."
"What is a constant-time algorithm?","A constant-time algorithm is an algorithm whose running time is constant and does not depend on the input size."
"What is a logarithmic-time algorithm?","A logarithmic-time algorithm is an algorithm whose running time grows logarithmically with the input size."
"What is a sublinear-time algorithm?","A sublinear-time algorithm is an algorithm whose running time is less than linear with respect to the input size."
"What is a quadratic-time algorithm?","A quadratic-time algorithm is an algorithm whose running time grows as the square of the input size."
"What is a cubic-time algorithm?","A cubic-time algorithm is an algorithm whose running time grows as the cube of the input size."
"What is exponential-time algorithm?","An exponential-time algorithm is an algorithm whose running time grows exponentially with the input size."
"What is backtracking?","Backtracking is a general algorithmic technique that considers searching every possible combination in order to solve a computational problem."
"What is the purpose of a pseudocode?","Pseudocode is a high-level description of an algorithm that uses the structural conventions of programming languages but omits details such as variable declarations and language-specific syntax."
"What is a heuristic?","A heuristic is a problem-solving approach that finds a satisfactory solution where finding an optimal or exact solution is impractical or impossible."
"What is the traveling salesman problem (TSP)?","The traveling salesman problem (TSP) is a classic algorithmic problem in the field of computer science and operations research that focuses on optimization. The problem is to find the shortest possible route that visits each city exactly once and returns to the origin city."
"What is the Hamiltonian cycle problem?","The Hamiltonian cycle problem is the problem of determining whether a Hamiltonian cycle exists in a given graph."
"What is the difference between Hamiltonian cycle and Eulerian cycle?","A Hamiltonian cycle visits each vertex exactly once, whereas an Eulerian cycle visits each edge exactly once."
"What is the clique problem?","The clique problem is the problem of finding a complete subgraph (a clique) within a given graph."
"What is the subset-sum problem?","The subset-sum problem is the problem of determining whether there is a subset of a given set of integers that sums up to a given sum."
"What is the knapsack problem?","The knapsack problem is a problem in combinatorial optimization where the goal is to maximize the total value of items placed in a knapsack without exceeding its capacity."
"What is a greedy heuristic?","A greedy heuristic is an algorithm that follows the problem-solving heuristic of making the locally optimal choice at each stage."
"What is the difference between greedy algorithm and dynamic programming?","A greedy algorithm makes a series of choices, each of which simply looks the best at the moment, while dynamic programming makes choices by solving subproblems and using their solutions to construct the solution to the overall problem."
"What is the purpose of a flowchart?","A flowchart is a diagram that represents a process, system, or computer algorithm. It uses standardized symbols and shapes to represent different steps and the flow of control."
"What is recursion?","Recursion is a method of solving a problem where the solution depends on solutions to smaller instances of the same problem."
"What is tail recursion?","Tail recursion is a type of recursion where the recursive call is the last operation in the function."
"What is memoization?","Memoization is a technique for improving the performance of recursive algorithms by storing the results of expensive function calls and reusing them when the same inputs occur again."
"What is a stable sorting algorithm?","A stable sorting algorithm maintains the relative order of records with equal keys (i.e., values)."
"What is the difference between merge sort and quick sort?","Merge sort is a stable, divide-and-conquer algorithm with O(n log n) time complexity, whereas quick sort is an unstable, divide-and-conquer algorithm that can have O(n^2) time complexity in the worst case but O(n log n) on average."
"What is a binary heap?","A binary heap is a complete binary tree that satisfies the heap property, where each node's key is greater than or equal to (max heap) or less than or equal to (min heap) the keys of its children."
"What is the purpose of the Fibonacci heap?","A Fibonacci heap is a data structure that consists of a collection of trees and is used to improve the time complexity of Dijkstra's algorithm and other graph algorithms."
"What is the difference between array and linked list?","An array is a collection of elements stored at contiguous memory locations, whereas a linked list is a collection of elements where each element points to the next."
"What is a circular linked list?","A circular linked list is a linked list in which the last node points back to the first node, forming a circle."
"What is the purpose of a sentinel node in linked lists?","A sentinel node is a dummy node used to simplify boundary conditions in data structures such as linked lists."
"What is a deque?","A deque (double-ended queue) is an abstract data type that allows insertion and deletion of elements from both ends."
"Hello?","Hey hello there"